occ,ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg36,com_cg37
2,30109724,A,DROUGHT,DROUGHT,2013,3/4
3,30109724,B,ELEPHANTS DESTROYING CROPS,OTHER BAD (SPECIFY),2013,1/2
4,30109724,C,,,,
5,30109724,D,,,,
6,30109724,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30109724,A,NEW TOILETS FOR THE PRIMARY SCHOOL,NEW SCHOOL,2010,ALMOST ALL
8,30109724,B,NEW BRIDGE,DEVELOPMENT PROJECT,2011,ALMOST ALL
9,30109724,C,,,,
10,30109724,D,,,,
1,30202252,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30202252,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,3/4
3,30202252,B,,,,
4,30202252,C,,,,
5,30202252,D,,,,
6,30202252,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30202252,A,NEW ROADS,NEW ROAD,2013,ALMOST ALL
8,30202252,B,,,,
9,30202252,C,,,,
10,30202252,D,,,,
1,30206341,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30206341,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,30206341,B,,,,
4,30206341,C,,,,
5,30206341,D,,,,
6,30206341,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30206341,A,MAINTANCE OF THE ROADS,NEW ROAD,2012,ALMOST ALL
8,30206341,B,NEW COMMUNAL PIPES,DEVELOPMENT PROJECT,2013,ALMOST ALL
9,30206341,C,NEW ONE SCHOOL BLOCK FOR PRIMARY SC,NEW SCHOOL,2011,ALMOST ALL
10,30206341,D,,,,
1,30206572,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30206572,A,DROUGHT,DROUGHT,2013,3/4
3,30206572,B,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2012,3/4
4,30206572,C,,,,
5,30206572,D,,,,
6,30206572,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30206572,A,MAINTANANCE OF THE ROADS,NEW ROAD,2013,ALMOST ALL
8,30206572,B,NEW PIPES (WATER),DEVELOPMENT PROJECT,2013,ALMOST ALL
9,30206572,C,,,,
10,30206572,D,,,,
1,30208396,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30208396,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST ALL
3,30208396,B,WATER LOGDING,OTHER BAD (SPECIFY),2009,ALMOST ALL
4,30208396,C,CROP DIAESES/PESTS,CROP DISEASE/PESTS,2010,1/2
5,30208396,D,SHORTAGE OF MEDICINE IN HOSPITALS,OTHER BAD (SPECIFY),2011,3/4
6,30208396,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30208396,A,DEVELOPMENT PROJECTS(MOULDING BRICK,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,30208396,B,NEW ROAD,NEW ROAD,2010,ALMOST ALL
9,30208396,C,,,,
10,30208396,D,,,,
1,30212307,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30212307,A,DROUGHT,DROUGHT,2013,3/4
3,30212307,B,,,,
4,30212307,C,,,,
5,30212307,D,,,,
6,30212307,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30212307,A,,,,
8,30212307,B,,,,
9,30212307,C,,,,
10,30212307,D,,,,
1,30212492,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30212492,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,30212492,B,,,,
4,30212492,C,,,,
5,30212492,D,,,,
6,30212492,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30212492,A,,,,
8,30212492,B,,,,
9,30212492,C,,,,
10,30212492,D,,,,
1,30302601,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30302601,A,DROUGHT,DROUGHT,2012,3/4
3,30302601,B,WATER LOGGING,OTHER BAD (SPECIFY),2012,3/4
4,30302601,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,3/4
5,30302601,D,,,,
6,30302601,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30302601,A,FARM INPUTS SUBSIDY,OTHER GOOD (SPECIFY),2011,1/4
8,30302601,B,,,,
9,30302601,C,,,,
10,30302601,D,,,,
1,30305082,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30305082,A,LACK OF HEALTH FACILITY,OTHER BAD (SPECIFY),,ALMOST ALL
3,30305082,B,LACK OF DEPENDABLE MKTS,OTHER BAD (SPECIFY),,ALMOST ALL
4,30305082,C,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,,ALMOST ALL
5,30305082,D,POOR SOIL,OTHER BAD (SPECIFY),,
6,30305082,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30305082,A,INTRODUCTION OF INPUTS COUPON,OTHER GOOD (SPECIFY),2011,1/4
8,30305082,B,TOBACCO FARMING,OTHER GOOD (SPECIFY),2010,1/2
9,30305082,C,,,,
10,30305082,D,,,,
1,30305277,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30305277,A,DROUGHT,DROUGHT,2010,3/4
3,30305277,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,3/4
4,30305277,C,LACK OF SOCIAL SERVICES,LOSS OF KEY SOCIAL SERVICE (S),2011,3/4
5,30305277,D,LACK OF EMPLOYMENT,OTHER BAD (SPECIFY),2012,ALMOST ALL
6,30305277,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30305277,A,FARMING,OTHER GOOD (SPECIFY),2012,1/4
8,30305277,B,,,,
9,30305277,C,,,,
10,30305277,D,,,,
1,30305580,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30305580,A,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,30305580,B,DROUGHT,DROUGHT,2011,ALMOST ALL
4,30305580,C,,,,
5,30305580,D,,,,
6,30305580,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30305580,A,,,,
8,30305580,B,,,,
9,30305580,C,,,,
10,30305580,D,,,,
1,30306087,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30306087,A,ERATIC RAINFALL,OTHER BAD (SPECIFY),2011,3/4
3,30306087,B,TOO MUCH RAINFALL,OTHER BAD (SPECIFY),2013,3/4
4,30306087,C,LOSS OF KEY SOCIAL SERCES,LOSS OF KEY SOCIAL SERVICE (S),2010,ALMOST ALL
5,30306087,D,,,,
6,30306087,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30306087,A,SUBSIDY PROGRAMME,OTHER GOOD (SPECIFY),2012,1/4
8,30306087,B,,,,
9,30306087,C,,,,
10,30306087,D,,,,
1,30306555,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30306555,A,ERATIC RAINFALL,OTHER BAD (SPECIFY),2011,3/4
3,30306555,B,HURRICANE WINDS,OTHER BAD (SPECIFY),2011,3/4
4,30306555,C,SHOP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,3/4
5,30306555,D,,,,
6,30306555,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30306555,A,INTRODUCTION OF COUPONS,OTHER GOOD (SPECIFY),2012,1/2
8,30306555,B,VILLAGE BANKS,OTHER GOOD (SPECIFY),2013,1/2
9,30306555,C,PIECE WORK,OTHER GOOD (SPECIFY),2011,1/2
10,30306555,D,,,,
1,30307678,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30307678,A,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
3,30307678,B,VENDORS OFFER LOW TO FARMERS,OTHER BAD (SPECIFY),2011,3/4
4,30307678,C,LACK OF DEPENDABLE MKTS,OTHER BAD (SPECIFY),2012,3/4
5,30307678,D,,,,
6,30307678,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30307678,A,ON GRID ELECTRICITY,ON-GRID ELECTRICITY,2012,ALMOST ALL
8,30307678,B,GOOD ROAD,NEW ROAD,2011,ALMOST ALL
9,30307678,C,RECEIVE INPUT COUPONS,OTHER GOOD (SPECIFY),2012,1/4
10,30307678,D,,,,
1,30403444,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30403444,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,30403444,B,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2013,ALMOST ALL
4,30403444,C,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2013,ALMOST NONE
5,30403444,D,,,,
6,30403444,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30403444,A,NEW HEALTHY FACILITY,NEW HEALTH FACILITY,2012,ALMOST ALL
8,30403444,B,,,,
9,30403444,C,,,,
10,30403444,D,,,,
1,30406710,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30406710,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,30406710,B,LIVE STOCK DISEASE,LIVESTOCK DISEASE,2013,ALMOST ALL
4,30406710,C,SHARP CHANGES IN PRICE,SHARP CHANGE IN PRICES,2013,ALMOST ALL
5,30406710,D,,,,
6,30406710,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30406710,A,DEVELOPMENT PROJECT,DEVELOPMENT PROJECT,2012,1/4
8,30406710,B,IMPROVED TRANSPORTATION SERVICES,IMPROVED TRANSPORTATION,2012,ALMOST ALL
9,30406710,C,,,,
10,30406710,D,,,,
1,30501383,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30501383,A,HOUSE DESTRUCTION,OTHER BAD (SPECIFY),2012,1/4
3,30501383,B,HUNGER,OTHER BAD (SPECIFY),2012,3/4
4,30501383,C,HIGH PRICE,SHARP CHANGE IN PRICES,2010,ALMOST ALL
5,30501383,D,DISEASES,HUMAN EPIDEMIC DISEASE,2012,1/4
6,30501383,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30501383,A,SCHOOL FEEDING PROGRAMME,OTHER GOOD (SPECIFY),2011,1/4
8,30501383,B,FOOD FOR WORK,OTHER GOOD (SPECIFY),2012,1/4
9,30501383,C,TEACHER'S HOUSES CONSTRUCTION,DEVELOPMENT PROJECT,2012,1/2
10,30501383,D,SCHOOL BLOCKS CONSTRUCTION,DEVELOPMENT PROJECT,2012,1/2
1,30502456,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30502456,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,30502456,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,30502456,C,HEAVEY RAINS WHICH DESTROYED HOUSE,OTHER BAD (SPECIFY),2010,ALMOST NONE
5,30502456,D,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2012,1/2
6,30502456,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30502456,A,BANK MMANJA PROTECT,OTHER GOOD (SPECIFY),2012,1/2
8,30502456,B,NEW ROAD,NEW ROAD,2012,ALMOST ALL
9,30502456,C,NEW SCHOOL,NEW SCHOOL,2012,ALMOST ALL
10,30502456,D,NEW BRODGE,OTHER GOOD (SPECIFY),2011,ALMOST ALL
1,30503685,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30503685,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,30503685,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,30503685,C,UN EMPLOYMENT,OTHER BAD (SPECIFY),2009,ALMOST ALL
5,30503685,D,LUCK OF WATER SUPLY (PIPED WATER),OTHER BAD (SPECIFY),2009,ALMOST ALL
6,30503685,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30503685,A,SCHOOL FEEDING PROGRAMME,OTHER GOOD (SPECIFY),2012,1/4
8,30503685,B,NEW SECONDARY SCHOOL,NEW SCHOOL,2009,ALMOST ALL
9,30503685,C,SUPPLY OF MOSQUITO NETS,OTHER GOOD (SPECIFY),2010,ALMOST ALL
10,30503685,D,FERTILIZER COUPONS,OTHER GOOD (SPECIFY),2009,ALMOST ALL
1,30504518,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30504518,A,DROUGHT,DROUGHT,2010,3/4
3,30504518,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,30504518,C,MASSIVE JOB LAY-OFFS,MASSIVE JOB LAY-OFFS,2009,1/4
5,30504518,D,CROP DISEASE/PESTS,LIVESTOCK DISEASE,2009,ALMOST ALL
6,30504518,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30504518,A,NEW HEALTH FACILITY(VILLAGE CLINIC),NEW HEALTH FACILITY,2010,ALMOST ALL
8,30504518,B,NEW SCHOOL,NEW SCHOOL,2010,ALMOST ALL
9,30504518,C,IMPROVED TRANSPORTATION SERVICE,IMPROVED TRANSPORTATION,2011,ALMOST ALL
10,30504518,D,FOOD DISTRIBUTION,OTHER GOOD (SPECIFY),2013,1/4
1,30602235,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30602235,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,30602235,B,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,30602235,C,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2010,1/4
5,30602235,D,(KUGUGA KWA NTHAKA)POOR SOIL FERTIL,OTHER BAD (SPECIFY),2011,ALMOST ALL
6,30602235,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30602235,A,ON GRID ELECTRICITY,ON-GRID ELECTRICITY,2012,3/4
8,30602235,B,OTHER(NETWORK CELL PHONE),OTHER GOOD (SPECIFY),2012,3/4
9,30602235,C,FARMING DISTRIBUTION,MAREP,2010,3/4
10,30602235,D,NEW EMPLOYMENT OPPORTUNITY,NEW EMPLOYMENT OPPORTUNITIES,2012,1/4
1,30620196,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30620196,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,30620196,B,FLOOD,FLOOD,2013,1/4
4,30620196,C,WIND,OTHER BAD (SPECIFY),2012,1/2
5,30620196,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
6,30620196,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30620196,A,DEVELOPMENT PROJECT,DEVELOPMENT PROJECT,2012,ALMOST ALL
8,30620196,B,NEW ROAD,NEW ROAD,2013,ALMOST ALL
9,30620196,C,NEW BANKS,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,30620196,D,NEW BOREHOLES,OTHER GOOD (SPECIFY),2013,1/2
1,30703381,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30703381,A,LOSS OF MEDICINE,OTHER BAD (SPECIFY),2012,ALMOST ALL
3,30703381,B,DROUGHT,DROUGHT,2012,ALMOST ALL
4,30703381,C,LACK OF FARM INPUTS,OTHER BAD (SPECIFY),2012,ALMOST ALL
5,30703381,D,DEVALUTION,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,30703381,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30703381,A,HEALTH WORKER PERSON,NEW HEALTH FACILITY,2012,ALMOST ALL
8,30703381,B,PROVISION OF NEW PRIMARY SCHOOL TEA,OTHER GOOD (SPECIFY),2010,ALMOST ALL
9,30703381,C,GARDEN SHELTER NEW,DEVELOPMENT PROJECT,2011,ALMOST ALL
10,30703381,D,SAFE MOTHER HOOD PROGRAM,OTHER GOOD (SPECIFY),2012,ALMOST ALL
1,30704313,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30704313,A,SHARP CHANGES IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,30704313,B,LIVESTOCK DISEASES,LIVESTOCK DISEASE,2012,ALMOST NONE
4,30704313,C,UTHUTHU,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,30704313,D,,,,
6,30704313,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30704313,A,SCHOOL,NEW SCHOOL,2012,ALMOST ALL
8,30704313,B,HEALTH FACILITY,NEW HEALTH FACILITY,2012,ALMOST ALL
9,30704313,C,AGRICULTURE SCHEME,OTHER GOOD (SPECIFY),2012,ALMOST ALL
10,30704313,D,,,,
1,30705391,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30705391,A,CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
3,30705391,B,,,,
4,30705391,C,,,,
5,30705391,D,,,,
6,30705391,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30705391,A,EMPLOYED OF MORE TEACHERS,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,30705391,B,,,,
9,30705391,C,,,,
10,30705391,D,,,,
1,30706619,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30706619,A,DO FREE MEDICATION FOR UNDERFIVE AT,OTHER BAD (SPECIFY),2011,3/4
3,30706619,B,MOST PEOPLE FAIL TO BUY SUBSIDY INP,OTHER BAD (SPECIFY),2011,1/4
4,30706619,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,3/4
5,30706619,D,,,,
6,30706619,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30706619,A,MAINTANANCE OF ROAD,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,30706619,B,MAINTANANCE OF BRIDGE,OTHER GOOD (SPECIFY),2011,ALMOST ALL
9,30706619,C,VILLAGE HEALTH CLINIC,OTHER GOOD (SPECIFY),2011,ALMOST ALL
10,30706619,D,VILLAGE BANK,OTHER GOOD (SPECIFY),2011,1/4
1,30708665,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30708665,A,POOR RAINS,OTHER BAD (SPECIFY),2012,ALMOST ALL
3,30708665,B,HIGH COST OF AGRI INPUTS AND EM,SHARP CHANGE IN PRICES,2013,ALMOST ALL
4,30708665,C,OUTBREAK OF MALARIA AND NEMONIA,HUMAN EPIDEMIC DISEASE,2012,ALMOST ALL
5,30708665,D,,,,
6,30708665,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30708665,A,DISTRIBUTION OF FREE MOSQUITO NET,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,30708665,B,OPENING OF A,NEW HEALTH FACILITY,2011,ALMOST ALL
9,30708665,C,,,,
10,30708665,D,,,,
1,30709438,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30709438,A,CROP DISEASES/PESTS,CROP DISEASE/PESTS,2013,3/4
3,30709438,B,,,,
4,30709438,C,,,,
5,30709438,D,,,,
6,30709438,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30709438,A,,,,
8,30709438,B,,,,
9,30709438,C,,,,
10,30709438,D,,,,
1,30710079,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30710079,A,SHORTAGE OF MEDICINE IN THE HOSPITA,OTHER BAD (SPECIFY),2012,ALMOST NONE
3,30710079,B,TRANSPORTATION,OTHER BAD (SPECIFY),2010,ALMOST NONE
4,30710079,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2010,ALMOST NONE
5,30710079,D,,,,
6,30710079,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30710079,A,SALARY INEREVENT,OTHER GOOD (SPECIFY),2012,1/4
8,30710079,B,,,,
9,30710079,C,,,,
10,30710079,D,,,,
1,30711684,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30711684,A,PRICE FLACTUATIONS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,30711684,B,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2013,ALMOST ALL
4,30711684,C,DROUGHT,DROUGHT,2012,ALMOST ALL
5,30711684,D,,,,
6,30711684,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30711684,A,ROAD MAINTANANCE,NEW ROAD,2010,ALMOST ALL
8,30711684,B,SCHOOL BLOCKS,OTHER GOOD (SPECIFY),2010,ALMOST ALL
9,30711684,C,MAINTANANCE OF BRIGDE,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,30711684,D,,,,
1,30801672,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30801672,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,30801672,B,LIVESTO CK DISEASES,LIVESTOCK DISEASE,2012,ALMOST ALL
4,30801672,C,LACK OF INPUTS,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,30801672,D,,,,
6,30801672,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30801672,A,IMPRIOVED TRANSPORTATION SERVICES,IMPROVED TRANSPORTATION,2013,ALMOST ALL
8,30801672,B,,,,
9,30801672,C,,,,
10,30801672,D,,,,
1,30801679,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30801679,A,HIGH PRICES OF ESSENSIAL COMODITIES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,30801679,B,LOW PRICES OFFERED FOR AGRI PRODUCT,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,30801679,C,OUTBREAK OF HIV AND CANCER OF THE,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,30801679,D,DESTRIBUTION OF HOUSES BECAUSE OF S,OTHER BAD (SPECIFY),2012,ALMOST ALL
6,30801679,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30801679,A,GLOBAL AIDS TAKING CARE OF AIDS,OTHER GOOD (SPECIFY),2012,1/2
8,30801679,B,DISTRIBUTION OFFREE MOSQUITO NETS,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,30801679,C,,,,
10,30801679,D,,,,
1,30803115,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30803115,A,LACKY OF GOOD RAIN DROUGHT,DROUGHT,2012,ALMOST ALL
3,30803115,B,DEATH OF PEOPLE DUE TO AIDS,HUMAN EPIDEMIC DISEASE,2010,1/4
4,30803115,C,SHARP CHANGE IN PRICES OF THINGS,SHARP CHANGE IN PRICES,2013,ALMOST ALL
5,30803115,D,,,,
6,30803115,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30803115,A,BOREHOLE,DEVELOPMENT PROJECT,2013,ALMOST ALL
8,30803115,B,CONSTRUCTION OF MOSQUE AND PLAY GRO,OTHER GOOD (SPECIFY),2013,3/4
9,30803115,C,,,,
10,30803115,D,,,,
1,30804416,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30804416,A,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2010,1/4
3,30804416,B,SHARP CHANGE IN PRICE,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,30804416,C,DROUGHT,DROUGHT,2012,ALMOST ALL
5,30804416,D,,,,
6,30804416,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30804416,A,NEW MASF ROAD,NEW ROAD,2012,ALMOST ALL
8,30804416,B,NEW PRIMARY SCHOOL,NEW SCHOOL,2013,ALMOST ALL
9,30804416,C,OXFARM SOCIAL CASH TRANSEFER,OTHER GOOD (SPECIFY),2011,1/4
10,30804416,D,,,,
1,30805259,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30805259,A,RAINFALL PATTEN UNCERTANITY,DROUGHT,2012,ALMOST ALL
3,30805259,B,HIHY COST OF PRICE  OF ESSECIAL COM,DROUGHT,2013,ALMOST ALL
4,30805259,C,,,,
5,30805259,D,,,,
6,30805259,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30805259,A,GOOD ROAD NETTING,DROUGHT,2013,ALMOST ALL
8,30805259,B,FREE DISTRIBUTION OF MOSQUTO NETS,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,30805259,C,,,,
10,30805259,D,,,,
1,30806611,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30806611,A,FLOODS,FLOOD,2010,1/2
3,30806611,B,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2013,ALMOST ALL
4,30806611,C,HUMAN EPIDEMIC DISEAS,HUMAN EPIDEMIC DISEASE,2010,1/4
5,30806611,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,30806611,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30806611,A,,,,
8,30806611,B,,,,
9,30806611,C,,,,
10,30806611,D,,,,
1,30901054,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30901054,A,FLOODING IN THE AREA,OTHER BAD (SPECIFY),2013,ALMOST ALL
3,30901054,B,HIGH PRICE OF ESSENTIAL COMODINTIES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
4,30901054,C,LACK OF PROPER MARKET WHERE TO SELL,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,30901054,D,,,,
6,30901054,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30901054,A,COMMING OF VILLAGE TOWN DEVELOPMENT,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,30901054,B,CONSTRUCTION OF SECONDARY SCHOOL,OTHER GOOD (SPECIFY),2012,ALMOST ALL
9,30901054,C,,,,
10,30901054,D,,,,
1,30901475,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30901475,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,30901475,B,FLOOD,FLOOD,2013,ALMOST ALL
4,30901475,C,LIVESTOCK DISEASES,LIVESTOCK DISEASE,2012,ALMOST ALL
5,30901475,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,30901475,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30901475,A,NEW ROAD,NEW ROAD,2010,ALMOST ALL
8,30901475,B,,,,
9,30901475,C,,,,
10,30901475,D,,,,
1,30901603,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,30901603,A,FLOODING,DROUGHT,2012,ALMOST ALL
3,30901603,B,HIGH PRICES OF USSUAL THINGS SOAP,SHARP CHANGE IN PRICES,2013,ALMOST ALL
4,30901603,C,DESTRACTION OF HOUSES BY FLOODS,OTHER GOOD (SPECIFY),2013,ALMOST ALL
5,30901603,D,GOVERNMENT FAILURE,OTHER GOOD (SPECIFY),2013,ALMOST ALL
6,30901603,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,30901603,A,COMING OF ELECTRICITY IN THE AREA,DEVELOPMENT PROJECT,2013,ALMOST ALL
8,30901603,B,DEVELOPED SMALL ROADS TO BIG ONES,DEVELOPMENT PROJECT,2013,ALMOST ALL
9,30901603,C,ORPHAN CARE CENTRE HAS BEEN BUILT,DEVELOPMENT PROJECT,2012,ALMOST ALL
10,30901603,D,PIPED WATER IN THE AREA,DROUGHT,2010,ALMOST ALL
1,31001333,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31001333,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,31001333,B,DELAY OF FREE DISTRIBUTIONS OF FARM,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,31001333,C,RAPID POPULATION GROWTH,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,31001333,D,SHORTAGE OF DRAMAS,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,31001333,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,31001333,A,DEPLOVMENT OF MORE TEACHERS,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,31001333,B,ROAD MAINTANANCE,OTHER GOOD (SPECIFY),2011,ALMOST ALL
9,31001333,C,CAMPAIGN FOR FEMALE EDUCATION(CAFED,OTHER GOOD (SPECIFY),2010,1/4
10,31001333,D,,,,
1,31001749,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,31001749,A,FLOOD,FLOOD,2012,ALMOST ALL
