occ,ea_id,com_ci0b,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07b,com_ci07c,com_ci08a,com_ci08b,com_ci08c,com_ci09a,com_ci09b,com_ci09c,com_ci10,com_ci11,com_ci12,com_ci13,com_ci14
1,31432523,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31432523,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,31432523,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31432523,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31432523,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31432676,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31432676,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31432676,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31432676,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31432676,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31435120,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31435120,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31435120,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31435120,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31435120,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31435753,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31435753,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31435753,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31435753,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31435753,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31436695,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31436695,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31436695,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31436695,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31436695,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31438690,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31438690,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31438690,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31438690,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31438690,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31439102,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31439102,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31439102,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31439102,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31439102,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31441389,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31441389,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31441389,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31441389,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31441389,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31442394,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31442394,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31442394,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31442394,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31442394,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31443108,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31443108,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31443108,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31443108,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31443108,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31443270,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31443270,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31443270,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31443270,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31443270,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31532674,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31532674,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31532674,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31532674,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31532674,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31533095,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31533095,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31533095,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31533095,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31533095,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31536118,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31536118,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31536118,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31536118,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31536118,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31536751,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31536751,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31536751,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31536751,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31536751,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31539670,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31539670,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31539670,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31539670,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31539670,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31540419,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31540419,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31540419,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31540419,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31540419,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31545384,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31545384,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31545384,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31545384,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31545384,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31546760,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31546760,FOREST,YES,YES,YES,YES,YES,NO,,,,TIME RESTRICTIONS,,,OTHER (SPECIFY),,,NOT EFFECTIVE,NO,,NO,
3,31546760,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31546760,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31546760,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31550254,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31550254,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31550254,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31550254,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31550254,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31552686,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31552686,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31552686,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31552686,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31552686,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31554613,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31554613,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31554613,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31554613,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31554613,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,31555614,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,31555614,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,31555614,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,31555614,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,31555614,OTHER:,NO,,,,,,,,,,,,,,,,,,,
