occ,y2_hhid,qx_type,interview_status,hh_i01,hh_i02,hh_i03
2,2341-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2341-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2341-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2341-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2341-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2341-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2341-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,550
9,2341-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2342-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2342-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2342-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2342-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2342-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,2342-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2342-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2342-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2342-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2343-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2343-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2343-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2343-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2343-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,2343-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2343-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2343-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2343-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2344-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2344-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2344-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2344-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2344-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,2344-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2344-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2344-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2344-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2345-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2345-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2345-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2345-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2345-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2345-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2345-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2345-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2345-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2346-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2346-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2346-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2346-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2346-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,2346-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2346-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2346-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2346-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2347-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2347-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2347-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2347-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,180
5,2347-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,60
6,2347-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2347-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2347-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2347-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2347-002,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2347-002,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2347-002,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2347-002,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2347-002,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2347-002,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2347-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2347-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2347-002,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2348-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2348-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2348-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2348-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2348-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,2348-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2348-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2348-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2348-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2349-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2349-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,2349-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2349-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2349-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,80
6,2349-001,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,20
7,2349-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2349-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2349-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2349-004,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2349-004,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2349-004,PANEL A,Panel A - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,300
4,2349-004,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2349-004,PANEL A,Panel A - 2 Visits,YES,MATCHES,200
6,2349-004,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2349-004,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2349-004,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2349-004,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2350-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2350-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2350-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2350-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2350-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,2350-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2350-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2350-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2350-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2351-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2351-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2351-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2351-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2351-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,80
6,2351-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2351-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2351-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2351-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2352-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2352-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2352-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2352-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2352-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,2352-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2352-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2352-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2352-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2353-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2353-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2353-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2353-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2353-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2353-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2353-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,200
8,2353-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,150
9,2353-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2354-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2354-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2354-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2354-001,PANEL B,Panel B - 2 Visits,YES,CANDLES,70
5,2354-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,100
6,2354-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2354-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2354-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2354-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2355-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2355-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,175
3,2355-001,PANEL A,Panel A - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,50
4,2355-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2355-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2355-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2355-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2355-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2355-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2356-001,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,300
2,2356-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2356-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2356-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2356-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,2356-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2356-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2356-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1000
9,2356-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2356-002,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2356-002,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2356-002,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2356-002,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2356-002,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,2356-002,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2356-002,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2356-002,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2356-002,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2357-002,PANEL A,Panel A - Combined Visit,NO,CHARCOAL,
2,2357-002,PANEL A,Panel A - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,2357-002,PANEL A,Panel A - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,2357-002,PANEL A,Panel A - Combined Visit,NO,CANDLES,
5,2357-002,PANEL A,Panel A - Combined Visit,YES,MATCHES,25
6,2357-002,PANEL A,Panel A - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,2357-002,PANEL A,Panel A - Combined Visit,YES,PUBLIC TRANSPORT - BICYCLE TAXI,300
8,2357-002,PANEL A,Panel A - Combined Visit,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2357-002,PANEL A,Panel A - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2357-004,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2357-004,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2357-004,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2357-004,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2357-004,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2357-004,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2357-004,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,150
8,2357-004,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,900
9,2357-004,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2358-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2358-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2358-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2358-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2358-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,2358-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2358-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2358-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,600
9,2358-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2359-002,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2359-002,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,2359-002,PANEL A,Panel A - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,30
4,2359-002,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2359-002,PANEL A,Panel A - 2 Visits,YES,MATCHES,30
6,2359-002,PANEL A,Panel A - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,10
7,2359-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2359-002,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2359-002,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2359-003,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2359-003,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,30
3,2359-003,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2359-003,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2359-003,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2359-003,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2359-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2359-003,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2359-003,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2360-003,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2360-003,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2360-003,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2360-003,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2360-003,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,2360-003,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2360-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2360-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2360-003,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2360-004,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2360-004,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2360-004,PANEL B,Panel B - 2 Visits,YES,CIGARETTES OR OTHER TOBACCO,40
4,2360-004,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2360-004,PANEL B,Panel B - 2 Visits,YES,MATCHES,40
6,2360-004,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2360-004,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2360-004,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2360-004,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2361-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2361-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2361-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2361-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2361-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2361-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2361-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2361-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2200
9,2361-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2362-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2362-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2362-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2362-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2362-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,2362-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2362-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2362-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2362-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2363-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2363-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,60
3,2363-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2363-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2363-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,15
6,2363-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2363-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2363-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2363-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2364-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2364-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2364-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2364-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2364-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,25
6,2364-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2364-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2364-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2364-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2365-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2365-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2365-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2365-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2365-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,2365-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2365-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2365-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2365-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2366-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,2366-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2366-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2366-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,2366-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,2366-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2366-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2366-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,2366-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,2367-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,2367-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,2367-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,2367-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,2367-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,25
6,2367-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,2367-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,2367-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
