occ,y2_hhid,qx_type,interview_status,ag_g0a,ag_g00,ag_g0b,ag_g0e,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08c,ag_g09a,ag_g09b,ag_g09c,ag_g10,ag_g11a,ag_g11b,ag_g13a,ag_g13b,ag_g13c,ag_g12a,ag_g12b,ag_g14a,ag_g14b
2,2356-002,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),2,MIXED STAND,NO,1/2,5,KILOGRAM,DECEMBER,2012,NO,25,50 KG BAG,SHELLED,,,,NO,,,1,50 KG BAG,SHELLED,AUGUST,AUGUST,2,
3,2356-002,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,2,
4,2356-002,PANEL B,Panel B - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),2,MIXED STAND,NO,LESS THAN 1/4,2,KILOGRAM,DECEMBER,2012,NO,10,KILOGRAM,SHELLED,,,,NO,,,1,50 KG BAG,SHELLED,AUGUST,AUGUST,2,
1,2357-002,PANEL A,Panel A - Combined Visit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2357-004,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2013,NO,5,50 KG BAG,SHELLED,,,,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2357-004,PANEL A,Panel A - 2 Visits,YES,R01,GROUNDNUT CHALIMBANA,1,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2013,NO,1,50 KG BAG,SHELLED,,,,YES,IRREGULAR RAINS,,3,KILOGRAM,SHELLED,APRIL,APRIL,1,
3,2357-004,PANEL A,Panel A - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2013,NO,1,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,JUNE,JUNE,1,
4,2357-004,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,1,MIXED STAND,YES,,15,KILOGRAM,DECEMBER,2013,NO,12,50 KG BAG,SHELLED,,,,NO,,,15,50 KG BAG,SHELLED,APRIL,APRIL,1,
5,2357-004,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2013,NO,2,50 KG BAG,SHELLED,,,,YES,IRREGULAR RAINS,,2,KILOGRAM,SHELLED,APRIL,APRIL,1,
6,2357-004,PANEL A,Panel A - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2013,NO,1.5,KILOGRAM,SHELLED,,,,YES,FIRE,,5,KILOGRAM,SHELLED,JUNE,JUNE,1,
7,2357-004,PANEL A,Panel A - 2 Visits,YES,R03,MAIZE HYBRID,1,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2013,NO,3,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,APRIL,APRIL,1,
8,2357-004,PANEL A,Panel A - 2 Visits,YES,R03,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2013,NO,25,KILOGRAM,SHELLED,,,,NO,,,30,KILOGRAM,SHELLED,JUNE,JUNE,1,
1,2358-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,YES,,,,8,50 KG BAG,SHELLED,YES,FLOODING,,8,50 KG BAG,SHELLED,APRIL,APRIL,2,
2,2358-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE LOCAL,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,12,50 KG BAG,SHELLED,NO,,,15,50 KG BAG,SHELLED,APRIL,APRIL,2,
3,2358-001,PANEL B,Panel B - 2 Visits,YES,R03,MAIZE HYBRID,2,PURE STAND,,,5500,GRAM,DECEMBER,2012,YES,,,,18,50 KG BAG,SHELLED,NO,,,17,50 KG BAG,SHELLED,APRIL,APRIL,2,
1,2359-002,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,5,GRAM,NOVEMBER,2013,NO,4,50 KG BAG,SHELLED,,,,NO,,,5,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2359-002,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,1,PURE STAND,,,2,GRAM,NOVEMBER,2012,NO,25,KILOGRAM,SHELLED,,,,YES,INSECTS,,3,50 KG BAG,SHELLED,APRIL,APRIL,1,
1,2359-003,PANEL A,Panel A - 2 Visits,,R01,MAIZE LOCAL,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,1,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2359-003,PANEL A,Panel A - 2 Visits,,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,NO,20,KILOGRAM,SHELLED,,,,NO,,,25,KILOGRAM,SHELLED,JULY,JULY,1,
3,2359-003,PANEL A,Panel A - 2 Visits,,R02,MAIZE HYBRID,1,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,NO,25,KILOGRAM,SHELLED,,,,NO,,,1,50 KG BAG,SHELLED,APRIL,APRIL,1,
1,2360-003,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,NO,1.5,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,APRIL,MAY,1,
2,2360-003,PANEL B,Panel B - 2 Visits,YES,R01,OTHER (SPECIFY),1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,YES,,,,2,KILOGRAM,SHELLED,NO,,,2,KILOGRAM,SHELLED,APRIL,APRIL,1,
1,2360-004,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,40,KILOGRAM,DECEMBER,2012,NO,7,50 KG BAG,SHELLED,,,,NO,,,11,50 KG BAG,SHELLED,APRIL,MAY,1,
2,2360-004,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,2,50 KG BAG,SHELLED,JULY,JULY,1,
3,2360-004,PANEL B,Panel B - 2 Visits,YES,R01,OTHER (SPECIFY),1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,1,PAIL (LARGE),SHELLED,MARCH,APRIL,1,
1,2361-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,20,KILOGRAM,NOVEMBER,2012,NO,16,50 KG BAG,SHELLED,,,,YES,DROUGHT,OTHER (SPECIFY),6,50 KG BAG,SHELLED,APRIL,MAY,1,
2,2361-001,PANEL A,Panel A - 2 Visits,YES,R01,SWEET POTATO,1,MIXED STAND,YES,,10,KILOGRAM,JUNE,2012,NO,2,50 KG BAG,SHELLED,,,,,,,,,,,,,
3,2361-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,1,MIXED STAND,YES,,5,KILOGRAM,NOVEMBER,2012,NO,4,50 KG BAG,SHELLED,,,,YES,DROUGHT,OTHER (SPECIFY),6,50 KG BAG,SHELLED,MARCH,APRIL,1,
4,2361-001,PANEL A,Panel A - 2 Visits,YES,R02,SOYABEAN,1,MIXED STAND,YES,,1,KILOGRAM,NOVEMBER,2012,NO,5,50 KG BAG,SHELLED,,,,YES,DROUGHT,,5,50 KG BAG,SHELLED,APRIL,APRIL,1,
5,2361-001,PANEL A,Panel A - 2 Visits,YES,R03,SWEET POTATO,1,MIXED STAND,YES,,60,OTHER (SPECIFY),JANUARY,2012,NO,7,50 KG BAG,NOT APPLICABLE,,,,YES,DROUGHT,,6,50 KG BAG,SHELLED,JUNE,JUNE,3,
6,2361-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT CHALIMBANA,1,MIXED STAND,YES,,10,KILOGRAM,NOVEMBER,2012,NO,2,50 KG BAG,UNSHELLED,,,,YES,DROUGHT,,1,50 KG BAG,UNSHELLED,APRIL,APRIL,1,
7,2361-001,PANEL A,Panel A - 2 Visits,YES,R04,GROUND BEAN(NZAMA),1,PURE STAND,YES,,1,KILOGRAM,DECEMBER,2012,YES,,,,15,50 KG BAG,UNSHELLED,YES,DROUGHT,,5,50 KG BAG,SHELLED,JUNE,JUNE,1,
8,2361-001,PANEL A,Panel A - 2 Visits,YES,R05,SWEET POTATO,1,PURE STAND,YES,,3,50 KG BAG,MARCH,2012,NO,3,50 KG BAG,NOT APPLICABLE,,,,YES,DROUGHT,,3,50 KG BAG,SHELLED,APRIL,MAY,1,
9,2361-001,PANEL A,Panel A - 2 Visits,YES,R06,MAIZE LOCAL,1,MIXED STAND,YES,,5,GRAM,MARCH,2012,NO,2,50 KG BAG,UNSHELLED,,,,YES,DROUGHT,,3,50 KG BAG,SHELLED,APRIL,MAY,1,
10,2361-001,PANEL A,Panel A - 2 Visits,YES,R06,SORGHUM,1,MIXED STAND,YES,,5,GRAM,MARCH,2012,NO,1,50 KG BAG,SHELLED,,,,YES,DROUGHT,,2,50 KG BAG,SHELLED,MAY,MAY,1,
1,2362-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,2,KILOGRAM,NOVEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2362-001,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,1,KILOGRAM,NOVEMBER,2012,NO,25,KILOGRAM,SHELLED,,,,NO,,,10,KILOGRAM,SHELLED,AUGUST,AUGUST,1,
1,2363-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,2.5,KILOGRAM,NOVEMBER,2012,NO,10,50 KG BAG,SHELLED,,,,NO,,,9,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2363-001,PANEL A,Panel A - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,1,KILOGRAM,NOVEMBER,2012,NO,25,KILOGRAM,SHELLED,,,,YES,DROUGHT,,1,50 KG BAG,SHELLED,AUGUST,AUGUST,1,
3,2363-001,PANEL A,Panel A - 2 Visits,YES,R01,GROUNDNUT CHALIMBANA,1,MIXED STAND,YES,,1.5,KILOGRAM,NOVEMBER,2012,NO,5,KILOGRAM,SHELLED,,,,YES,DROUGHT,,25,KILOGRAM,SHELLED,APRIL,APRIL,1,
1,2364-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,15,KILOGRAM,DECEMBER,2012,NO,5,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,APRIL,MAY,1,2
2,2364-001,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,NO,,,25,KILOGRAM,SHELLED,JUNE,JULY,1,2
3,2364-001,PANEL B,Panel B - 2 Visits,YES,R01,OTHER (SPECIFY),1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,10,KILOGRAM,SHELLED,,,,NO,,,1,50 KG BAG,UNSHELLED,JUNE,JULY,1,2
4,2364-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE LOCAL,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,APRIL,MAY,1,2
5,2364-001,PANEL B,Panel B - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,5,KILOGRAM,SHELLED,,,,NO,,,5,KILOGRAM,SHELLED,JUNE,JUNE,1,2
6,2364-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,MIXED STAND,YES,,2.5,KILOGRAM,DECEMBER,2012,NO,2,PAIL (LARGE),SHELLED,,,,NO,,,25,KILOGRAM,SHELLED,APRIL,MAY,1,2
1,2365-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,6,KILOGRAM,DECEMBER,2012,YES,,,,12,50 KG BAG,SHELLED,YES,DROUGHT,,12,50 KG BAG,SHELLED,APRIL,APRIL,1,2
2,2365-001,PANEL A,Panel A - 2 Visits,YES,R02,SWEET POTATO,1,PURE STAND,,,50,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,YES,DROUGHT,,4,50 KG BAG,NOT APPLICABLE,MAY,MAY,1,2
3,2365-001,PANEL A,Panel A - 2 Visits,YES,R03,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,YES,DROUGHT,,2,50 KG BAG,SHELLED,JULY,JULY,1,2
4,2365-001,PANEL A,Panel A - 2 Visits,YES,R03,MAIZE LOCAL,1,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,YES,DROUGHT,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,2
5,2365-001,PANEL A,Panel A - 2 Visits,YES,R03,BEANS,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,NO,1,50 KG BAG,SHELLED,,,,YES,DROUGHT,,75,KILOGRAM,SHELLED,MAY,MAY,1,2
6,2365-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT CG7,1,MIXED STAND,YES,,6,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,YES,DROUGHT,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,2
7,2365-001,PANEL A,Panel A - 2 Visits,YES,R04,MAIZE LOCAL,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,8,50 KG BAG,SHELLED,YES,DROUGHT,,8,50 KG BAG,SHELLED,APRIL,APRIL,1,2
8,2365-001,PANEL A,Panel A - 2 Visits,YES,R04,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,5,50 KG BAG,SHELLED,YES,DROUGHT,,5,50 KG BAG,SHELLED,JULY,JULY,1,2
9,2365-001,PANEL A,Panel A - 2 Visits,YES,R05,TOBACCO BURLEY,1,MIXED STAND,YES,,20,GRAM,NOVEMBER,2012,NO,8,BALE,NOT APPLICABLE,,,,YES,DROUGHT,,4,BALE,NOT APPLICABLE,JANUARY,MAY,1,2
10,2365-001,PANEL A,Panel A - 2 Visits,YES,R05,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,3,50 KG BAG,SHELLED,YES,DROUGHT,,3,50 KG BAG,SHELLED,JULY,JULY,1,2
1,2366-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,NO,4,50 KG BAG,SHELLED,,,,NO,,,6,50 KG BAG,SHELLED,APRIL,APRIL,1,2
2,2366-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE LOCAL,1,PURE STAND,,,3,KILOGRAM,DECEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,2
3,2366-001,PANEL B,Panel B - 2 Visits,YES,R03,MAIZE HYBRID,1,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,2
4,2366-001,PANEL B,Panel B - 2 Visits,YES,R04,MAIZE HYBRID,1,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,NO,4,50 KG BAG,SHELLED,,,,NO,,,6,50 KG BAG,SHELLED,APRIL,APRIL,1,2
1,2367-002,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,YES,DROUGHT,OTHER (SPECIFY),1,50 KG BAG,SHELLED,MAY,MAY,1,
2,2367-002,PANEL A,Panel A - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,NO,20,KILOGRAM,SHELLED,,,,YES,DROUGHT,,2,KILOGRAM,SHELLED,JULY,JULY,1,
3,2367-002,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,1,MIXED STAND,YES,,3,KILOGRAM,DECEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,YES,DROUGHT,OTHER (SPECIFY),1,50 KG BAG,SHELLED,MAY,MAY,1,
4,2367-002,PANEL A,Panel A - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,10,KILOGRAM,SHELLED,,,,YES,DROUGHT,,3,KILOGRAM,SHELLED,JULY,JULY,1,
1,2368-002,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,MIXED STAND,,,20,KILOGRAM,DECEMBER,2012,YES,,,,30,50 KG BAG,SHELLED,NO,,,30,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2368-002,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,,,10,KILOGRAM,DECEMBER,2012,NO,0,,,,,,YES,INSECTS,,0,,,,,,
3,2368-002,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,UNSHELLED,NO,,,4,50 KG BAG,UNSHELLED,APRIL,APRIL,1,
1,2369-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,1,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,YES,DROUGHT,,1,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2369-001,PANEL A,Panel A - 2 Visits,YES,R03,MAIZE HYBRID,1,MIXED STAND,YES,,2500,GRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,YES,DROUGHT,,1,50 KG BAG,SHELLED,APRIL,APRIL,1,
3,2369-001,PANEL A,Panel A - 2 Visits,YES,R03,SORGHUM,1,MIXED STAND,YES,,250,GRAM,DECEMBER,2012,YES,,,,5,KILOGRAM,NOT APPLICABLE,YES,DROUGHT,,5,KILOGRAM,NOT APPLICABLE,JUNE,JUNE,1,
4,2369-001,PANEL A,Panel A - 2 Visits,YES,R03,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,NO,8,KILOGRAM,SHELLED,,,,YES,DROUGHT,,15,KILOGRAM,SHELLED,JUNE,JUNE,1,
5,2369-001,PANEL A,Panel A - 2 Visits,YES,R04,MAIZE LOCAL,1,MIXED STAND,YES,,4,KILOGRAM,DECEMBER,2012,YES,,,,75,KILOGRAM,SHELLED,YES,DROUGHT,,75,KILOGRAM,SHELLED,APRIL,APRIL,1,
6,2369-001,PANEL A,Panel A - 2 Visits,YES,R04,SORGHUM,1,MIXED STAND,YES,,250,GRAM,DECEMBER,2012,YES,,,,10,KILOGRAM,NOT APPLICABLE,YES,DROUGHT,,10,KILOGRAM,NOT APPLICABLE,JUNE,JUNE,1,
1,2370-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,30,KILOGRAM,DECEMBER,2012,NO,20,50 KG BAG,SHELLED,,,,NO,,,20,50 KG BAG,SHELLED,APRIL,MAY,1,
2,2370-001,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,NO,1,PAIL (LARGE),SHELLED,,,,NO,,,1,PAIL (LARGE),SHELLED,JULY,AUGUST,1,
3,2370-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,1,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,NO,,,4,50 KG BAG,SHELLED,APRIL,APRIL,1,
4,2370-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CG7,1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,50 KG BAG,SHELLED,APRIL,APRIL,1,
5,2370-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUND BEAN(NZAMA),1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,NO,1,PAIL (LARGE),SHELLED,,,,NO,,,1,PAIL (LARGE),SHELLED,JUNE,JUNE,1,
1,2370-002,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,50 KG BAG,SHELLED,APRIL,APRIL,2,
2,2370-002,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE LOCAL,2,PURE STAND,,,2,KILOGRAM,DECEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,NO,,,2,50 KG BAG,SHELLED,APRIL,MAY,2,
1,2371-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,15,50 KG BAG,SHELLED,YES,DROUGHT,DISEASES,15,50 KG BAG,SHELLED,APRIL,APRIL,1,2
2,2371-001,PANEL A,Panel A - 2 Visits,YES,R01,SORGHUM,2,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,YES,,,,25,KILOGRAM,NOT APPLICABLE,NO,,,25,KILOGRAM,NOT APPLICABLE,JULY,JULY,1,2
3,2371-001,PANEL A,Panel A - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),2,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,1,50 KG BAG,SHELLED,,,,YES,DROUGHT,,40,KILOGRAM,SHELLED,JULY,JULY,1,2
4,2371-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,2,MIXED STAND,YES,,15,KILOGRAM,DECEMBER,2012,YES,,,,5,50 KG BAG,SHELLED,YES,DROUGHT,DISEASES,5,50 KG BAG,SHELLED,APRIL,APRIL,1,2
5,2371-001,PANEL A,Panel A - 2 Visits,YES,R02,SORGHUM,2,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,YES,,,,25,KILOGRAM,NOT APPLICABLE,NO,,,25,KILOGRAM,NOT APPLICABLE,JULY,JULY,1,2
6,2371-001,PANEL A,Panel A - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),2,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,25,KILOGRAM,SHELLED,,,,YES,DROUGHT,,25,KILOGRAM,SHELLED,JULY,JULY,1,2
7,2371-001,PANEL A,Panel A - 2 Visits,YES,R02,OTHER (SPECIFY),2,MIXED STAND,YES,,2,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,50 KG BAG,SHELLED,MAY,MAY,1,2
1,2371-004,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,10,KILOGRAM,NOVEMBER,2012,YES,,,,13,50 KG BAG,SHELLED,NO,,,13,50 KG BAG,SHELLED,APRIL,APRIL,1,2
2,2371-004,PANEL A,Panel A - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),2,MIXED STAND,YES,,5,KILOGRAM,NOVEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,JULY,JULY,1,2
3,2371-004,PANEL A,Panel A - 2 Visits,YES,R01,SORGHUM,2,MIXED STAND,YES,,1,KILOGRAM,NOVEMBER,2012,YES,,,,1.5,50 KG BAG,NOT APPLICABLE,NO,,,2,50 KG BAG,NOT APPLICABLE,JULY,JULY,1,2
4,2371-004,PANEL A,Panel A - 2 Visits,YES,R01,OTHER (SPECIFY),2,MIXED STAND,YES,,2,KILOGRAM,NOVEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,20,KILOGRAM,SHELLED,MARCH,MARCH,1,2
5,2371-004,PANEL A,Panel A - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),2,MIXED STAND,YES,,5,KILOGRAM,NOVEMBER,2012,NO,1.5,50 KG BAG,SHELLED,,,,NO,,,2,50 KG BAG,SHELLED,JULY,JULY,1,2
6,2371-004,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,2,MIXED STAND,YES,,5,KILOGRAM,NOVEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,50 KG BAG,SHELLED,APRIL,APRIL,1,2
1,2372-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,1,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,YES,OTHER (SPECIFY),,1,50 KG BAG,SHELLED,APRIL,APRIL,1,
2,2372-001,PANEL B,Panel B - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,10,KILOGRAM,SHELLED,,,,YES,DROUGHT,,25,KILOGRAM,SHELLED,JULY,JULY,1,
3,2372-001,PANEL B,Panel B - 2 Visits,YES,R01,OTHER (SPECIFY),1,MIXED STAND,YES,,500,GRAM,DECEMBER,2012,NO,0,,,,,,YES,DROUGHT,,0,,,,,,
4,2372-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,2500,GRAM,DECEMBER,2012,YES,,,,10,50 KG BAG,UNSHELLED,NO,,,5,50 KG BAG,SHELLED,APRIL,APRIL,1,
5,2372-001,PANEL B,Panel B - 2 Visits,YES,R03,MAIZE HYBRID RECYCLED,1,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,NO,2,50 KG BAG,UNSHELLED,,,,YES,OTHER (SPECIFY),,2,50 KG BAG,SHELLED,APRIL,APRIL,1,
1,2373-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,2,MIXED STAND,YES,,10,KILOGRAM,NOVEMBER,2012,YES,,,,6,50 KG BAG,SHELLED,YES,DROUGHT,,6,50 KG BAG,SHELLED,MARCH,MARCH,2,
2,2373-001,PANEL A,Panel A - 2 Visits,YES,R01,PIGEONPEA(NANDOLO),2,MIXED STAND,NO,1/4,2,KILOGRAM,NOVEMBER,2012,NO,20,KILOGRAM,SHELLED,,,,YES,DROUGHT,,15,KILOGRAM,SHELLED,AUGUST,AUGUST,2,
3,2373-001,PANEL A,Panel A - 2 Visits,YES,R01,SORGHUM,2,MIXED STAND,NO,1/4,2,KILOGRAM,NOVEMBER,2012,NO,25,KILOGRAM,NOT APPLICABLE,,,,YES,DROUGHT,,20,KILOGRAM,NOT APPLICABLE,AUGUST,AUGUST,2,
